STATEFIPS,STATE,zipcode,agi_stub,N02650,A02650
1,AL,35221,6,0,0
1,AL,35222,1,1420,18743
1,AL,35222,2,860,31562
1,AL,35222,3,510,31989
1,AL,35222,4,330,28622
1,AL,35222,5,440,61751
1,AL,35222,6,250,114393
1,AL,35223,1,1190,11576
1,AL,35223,2,540,20515
1,AL,35223,3,490,31109
1,AL,35223,4,370,33349
1,AL,35223,5,1160,170022
1,AL,35223,6,1500,1165210
1,AL,35224,1,1390,19523
1,AL,35224,2,600,21287
1,AL,35224,3,220,13366
1,AL,35224,4,90,7856
1,AL,35224,5,40,5295
1,AL,35224,6,0,0
1,AL,35226,1,4040,47069
1,AL,35226,2,2700,102440
1,AL,35226,3,2260,142607
1,AL,35226,4,1900,167762
1,AL,35226,5,3680,507804
1,AL,35226,6,1280,466377
1,AL,35228,1,2540,35433
1,AL,35228,2,1390,48957
1,AL,35228,3,410,24425
1,AL,35228,4,130,11056
1,AL,35228,5,80,9197
1,AL,35228,6,0,0
1,AL,35233,1,220,2792
1,AL,35233,2,110,4047
1,AL,35233,3,70,4267
1,AL,35233,4,40,3327
1,AL,35233,5,50,6880
1,AL,35233,6,30,16038
1,AL,35234,1,1510,20960
1,AL,35234,2,540,18254
1,AL,35234,3,110,6432
1,AL,35234,4,50,4715
1,AL,35234,5,0,0
1,AL,35234,6,0,0
1,AL,35235,1,3580,48794
1,AL,35235,2,2890,106424
1,AL,35235,3,1390,85067
1,AL,35235,4,700,60121
1,AL,35235,5,570,73185
1,AL,35235,6,50,16693
1,AL,35242,1,6550,73767
1,AL,35242,2,4340,162016
1,AL,35242,3,2850,179931
1,AL,35242,4,2290,202460
1,AL,35242,5,5200,740791
1,AL,35242,6,3440,1636387
1,AL,35243,1,2370,27548
1,AL,35243,2,1880,71632
1,AL,35243,3,1270,79554
1,AL,35243,4,840,74608
1,AL,35243,5,1670,235526
1,AL,35243,6,1280,650951
1,AL,35244,1,4290,48994
1,AL,35244,2,3000,111773
1,AL,35244,3,1990,125278
1,AL,35244,4,1600,141311
1,AL,35244,5,3440,482874
1,AL,35244,6,1340,525634
1,AL,35401,1,6450,81819
1,AL,35401,2,2200,76476
1,AL,35401,3,570,34839
1,AL,35401,4,270,23375
1,AL,35401,5,310,42313
1,AL,35401,6,100,57131
1,AL,35404,1,4110,54642
1,AL,35404,2,2020,72162
1,AL,35404,3,790,48671
1,AL,35404,4,380,32860
1,AL,35404,5,360,47926
1,AL,35404,6,90,35545
1,AL,35405,1,7730,102054
1,AL,35405,2,4550,165299
1,AL,35405,3,2080,128755
1,AL,35405,4,1410,123184
1,AL,35405,5,1620,211548
1,AL,35405,6,230,91316
1,AL,35406,1,1690,19109
1,AL,35406,2,1070,39691
1,AL,35406,3,760,48471
1,AL,35406,4,630,55559
1,AL,35406,5,1350,191864
1,AL,35406,6,920,415565
1,AL,35441,1,200,2935
1,AL,35441,2,130,4595
1,AL,35441,3,50,3180
1,AL,35441,4,40,3263
1,AL,35441,5,20,2707
1,AL,35441,6,0,0
1,AL,35442,1,1160,15903
1,AL,35442,2,470,16497
1,AL,35442,3,160,10059
1,AL,35442,4,90,8191
1,AL,35442,5,60,8184
1,AL,35442,6,30,11156
1,AL,35443,1,410,5931
1,AL,35443,2,180,6049
1,AL,35443,3,50,3154
1,AL,35443,4,50,5499
1,AL,35443,5,0,0
1,AL,35443,6,0,0
1,AL,35444,1,540,7063
1,AL,35444,2,400,14586
1,AL,35444,3,240,15171
1,AL,35444,4,150,13103
1,AL,35444,5,140,26921
1,AL,35444,6,0,0
1,AL,35446,1,320,4359
1,AL,35446,2,230,8171
1,AL,35446,3,110,6574
1,AL,35446,4,70,6332
1,AL,35446,5,70,10049
1,AL,35446,6,0,0
1,AL,35447,1,690,9682
1,AL,35447,2,330,11555
1,AL,35447,3,150,9590
1,AL,35447,4,80,6826
1,AL,35447,5,70,10648
1,AL,35447,6,0,0
1,AL,35452,1,600,7931
1,AL,35452,2,380,14007
1,AL,35452,3,260,16000
1,AL,35452,4,170,14603
1,AL,35452,5,160,22647
1,AL,35452,6,0,0
1,AL,35453,1,1950,25978
1,AL,35453,2,1280,45718
1,AL,35453,3,720,44445
1,AL,35453,4,420,36750
1,AL,35453,5,370,47186
1,AL,35453,6,40,14923
1,AL,35456,1,840,11010
1,AL,35456,2,460,16487
1,AL,35456,3,240,14950
1,AL,35456,4,150,13409
1,AL,35456,5,150,22271
1,AL,35456,6,0,0
1,AL,35458,1,90,1259
1,AL,35458,2,70,2763
1,AL,35458,3,40,2273
1,AL,35458,4,40,4127
1,AL,35458,5,0,0
1,AL,35458,6,0,0
1,AL,35459,1,170,2589
